Time,Agent,X,Y,Z,Status
1753561174.92,Agent_3,0.08,-0.33,1.0,moving
1753561174.98,Agent_3,0.13,-0.31,1.0,moving
1753561175.04,Agent_3,0.17,-0.30,1.0,moving
1753561175.10,Agent_3,0.22,-0.29,1.0,moving
1753561175.23,Agent_3,0.27,-0.28,1.0,moving
1753561175.28,Agent_3,0.32,-0.27,1.0,moving
1753561175.35,Agent_3,0.37,-0.26,1.0,moving
1753561175.40,Agent_3,0.42,-0.24,1.0,moving
1753561175.46,Agent_3,0.47,-0.23,1.0,moving
1753561175.52,Agent_3,0.52,-0.22,1.0,moving
1753561175.58,Agent_3,0.56,-0.21,1.0,moving
1753561175.64,Agent_3,0.61,-0.20,1.0,moving
1753561175.71,Agent_1,-0.83,-0.54,1.0,moving
1753561175.77,Agent_1,-0.78,-0.53,1.0,moving
1753561175.83,Agent_1,-0.73,-0.52,1.0,moving
1753561175.89,Agent_1,-0.68,-0.51,1.0,moving
1753561175.96,Agent_1,-0.63,-0.50,1.0,moving
1753561176.01,Agent_1,-0.58,-0.48,1.0,moving
1753561176.07,Agent_1,-0.54,-0.47,1.0,moving
1753561176.13,Agent_1,-0.49,-0.46,1.0,moving
1753561176.19,Agent_1,-0.44,-0.45,1.0,moving
1753561176.26,Agent_1,-0.39,-0.44,1.0,moving
1753561176.31,Agent_1,-0.34,-0.42,1.0,moving
1753561176.37,Agent_1,-0.29,-0.41,1.0,moving
1753561176.44,Agent_1,-0.24,-0.40,1.0,moving
1753561176.50,Agent_1,-0.20,-0.39,1.0,moving
1753561176.56,Agent_1,-0.15,-0.38,1.0,moving
1753561176.63,Agent_1,-0.10,-0.36,1.0,moving
1753561176.69,Agent_1,-0.05,-0.35,1.0,moving
1753561176.76,Agent_1,-0.00,-0.34,1.0,moving
1753561176.82,Agent_1,0.05,-0.33,1.0,moving
1753561176.87,Agent_1,0.10,-0.32,1.0,moving
1753561176.93,Agent_1,0.14,-0.30,1.0,moving
1753561177.00,Agent_1,0.19,-0.29,1.0,moving
1753561177.06,Agent_1,0.24,-0.28,1.0,moving
1753561177.12,Agent_1,0.29,-0.27,1.0,moving
1753561177.17,Agent_1,0.34,-0.26,1.0,moving
1753561177.23,Agent_1,0.39,-0.24,1.0,moving
1753561177.29,Agent_1,0.44,-0.23,1.0,moving
1753561177.36,Agent_1,0.49,-0.22,1.0,moving
1753561177.42,Agent_1,0.53,-0.21,1.0,moving
1753561177.48,Agent_1,0.58,-0.20,1.0,moving
1753561177.56,Agent_1,0.63,-0.18,1.0,moving
1753561177.62,Agent_1,0.68,-0.17,1.0,moving
1753561177.74,Agent_1,0.73,-0.16,1.0,moving
1753561177.95,Agent_1,0.78,-0.15,1.0,moving
1753561178.01,Agent_1,0.83,-0.14,1.0,moving
1753561178.07,Agent_1,0.87,-0.12,1.0,moving
1753561178.13,Agent_1,0.92,-0.11,1.0,moving
1753561178.18,Agent_1,0.97,-0.10,1.0,moving
1753561178.25,Agent_1,1.02,-0.09,1.0,moving
1753561178.30,Agent_1,1.07,-0.08,1.0,moving
1753561178.36,Agent_2,-0.88,-0.56,1.0,moving
1753561178.43,Agent_2,-0.84,-0.55,1.0,moving
1753561178.49,Agent_2,-0.79,-0.53,1.0,moving
1753561178.55,Agent_2,-0.74,-0.52,1.0,moving
1753561178.62,Agent_2,-0.69,-0.51,1.0,moving
1753561178.67,Agent_2,-0.64,-0.50,1.0,moving
1753561178.74,Agent_2,-0.59,-0.49,1.0,moving
