(-20, 11), (-22, 9), (-21, 9),
(-22, 18), (-27, 23), (-36, 27),
(-17, 8), (-17, 10), (-24, 13),
(-22, 13), (-21, 10), (-22, 11),
(-16, 13), (-27, 22), (-36, 26),
(-20, 10), (-17, 10), (-24, 13),
(-20, 11), (-19, 9), (-24, 11),
(-8, 4), (-20, 12), (-28, 18),
(-22, 11), (-19, 10), (-21, 11),
(-17, 7), (-20, 7), (-19, 5),
(-8, 2), (-22, 14), (-28, 17),
(-20, 11), (-19, 9), (-22, 10),
(-18, 5), (-18, 5), (-16, 1),
(-16, 10), (-22, 14), (-22, 13),
(-19, 11), (-22, 12), (-22, 9),
(-15, 2), (-18, 4), (-13, -1),
(-18, 9), (-23, 12), (-23, 12),
(-20, 9), (-21, 8), (-17, 4),
(-17, 1), (-16, -2), (-7, -2),
(-19, 11), (-24, 12), (-19, 9),
(-20, 8), (-17, 4), (-14, 2),
(-16, -1), (-9, -5), (1, -4),
(-21, 11), (-21, 10), (-18, 8),
(-20, 8), (-17, 3), (-7, 0),
(-16, -1), (-6, -5), (2, -1),
(-22, 12), (-22, 11), (-19, 7),
(-21, 8), (-17, 3), (-6, -1),
(-15, -5), (-4, -7), (3, -2),
(-19, 10), (-21, 11), (-21, 10),
(-19, 8), (-20, 6), (-14, 2),
(-16, 0), (-12, -2), (-2, -2),
(-18, 9), (-22, 12), (-23, 12),
(-20, 8), (-20, 8), (-18, 5),
(-16, 1), (-17, 0), (-8, -2),
(-16, 8), (-21, 12), (-20, 11),
(-18, 7), (-20, 8), (-17, 3),
(-14, -1), (-16, 0), (-9, -2),
(-18, 10), (-22, 12), (-19, 10),
(-19, 8), (-20, 9), (-20, 7),
(-15, 0), (-17, 3), (-14, 0),
(-20, 11), (-20, 11), (-21, 11),
(-18, 9), (-21, 10), (-22, 11),
(-17, 3), (-18, 4), (-15, 2),
(-24, 17), (-28, 18), (-27, 16),
(-20, 11), (-19, 11), (-22, 11),
(-18, 8), (-19, 8), (-19, 6),
(-24, 19), (-28, 23), (-27, 22),
(-21, 11), (-20, 11), (-21, 12),
(-19, 9), (-19, 9), (-22, 11),
(-27, 24), (-27, 24), (-26, 26),
(-17, 8), (-23, 14), (-23, 13),
(-19, 9), (-18, 8), (-21, 10),
(-26, 22), (-27, 23), (-24, 26),
(-16, 11), (-23, 17), (-24, 15),
(-18, 10), (-18, 10), (-20, 11),
(-24, 22), (-27, 23), (-23, 26),
(-23, 17), (-29, 22), (-27, 21),
(-19, 10), (-18, 10), (-19, 10),
(-23, 23), (-19, 17), (-22, 27),
(-21, 19), (-23, 19), (-24, 22),
(-18, 10), (-22, 13), (-22, 14),
(-23, 22), (-17, 15), (-22, 24),
(-24, 20), (-25, 21), (-23, 22),
(-16, 10), (-19, 11), (-23, 14),
(-23, 22), (-18, 15), (-23, 25),
(-24, 22), (-24, 21), (-23, 21),
(-16, 10), (-20, 11), (-22, 14),
(-22, 22), (-14, 12), (-20, 23),
(-26, 23), (-25, 21), (-21, 20),
(-16, 11), (-19, 12), (-25, 17),
(-22, 22), (-17, 14), (-23, 25),
