(-26, 22), (-26, 20), (-6, 2),
(-31, 25), (-27, 22), (-30, 25),
(-27, 16), (-28, 16), (-21, 14),
(-27, 23), (-26, 22), (-15, 11),
(-38, 26), (-28, 22), (-29, 22),
(-20, 12), (-24, 13), (-19, 10),
(-35, 25), (-26, 23), (-24, 20),
(-39, 23), (-29, 18), (-27, 18),
(-16, 10), (-21, 10), (-17, 8),
(-39, 25), (-29, 24), (-26, 21),
(-35, 20), (-29, 17), (-26, 16),
(-15, 9), (-20, 11), (-17, 8),
(-40, 24), (-33, 24), (-27, 24),
(-31, 18), (-28, 16), (-26, 16),
(-15, 8), (-19, 10), (-15, 6),
(-39, 25), (-39, 26), (-29, 25),
(-30, 17), (-29, 16), (-26, 16),
(-13, 7), (-18, 9), (-14, 6),
(-39, 26), (-37, 25), (-31, 25),
(-30, 18), (-32, 18), (-27, 18),
(-13, 6), (-18, 9), (-17, 8),
(-38, 28), (-38, 26), (-34, 25),
(-31, 20), (-37, 25), (-31, 22),
(-15, 10), (-19, 13), (-21, 13),
(-36, 26), (-34, 28), (-33, 25),
(-31, 19), (-36, 26), (-36, 24),
(-15, 8), (-18, 11), (-23, 13),
(-38, 27), (-32, 26), (-29, 25),
(-31, 19), (-37, 27), (-34, 25),
(-17, 8), (-20, 13), (-26, 15),
(-38, 27), (-33, 28), (-28, 25),
(-29, 17), (-35, 26), (-31, 26),
(-17, 9), (-23, 15), (-26, 15),
(-38, 26), (-31, 28), (-26, 25),
(-29, 17), (-37, 26), (-32, 26),
(-20, 12), (-21, 14), (-25, 16),
(-37, 24), (-34, 28), (-28, 27),
(-25, 15), (-35, 24), (-33, 26),
(-16, 8), (-17, 11), (-22, 13),
(-35, 22), (-35, 27), (-28, 28),
(-24, 14), (-34, 21), (-35, 25),
(-15, 8), (-17, 11), (-20, 12),
(-34, 20), (-35, 25), (-29, 25),
(-24, 14), (-33, 20), (-35, 23),
(-14, 6), (-15, 9), (-19, 11),
(-32, 20), (-36, 27), (-33, 28),
(-24, 13), (-30, 17), (-31, 19),
(-12, 4), (-14, 8), (-17, 8),
(-30, 18), (-38, 26), (-34, 27),
(-24, 13), (-25, 14), (-29, 17),
(-11, 4), (-13, 7), (-16, 9),
(-30, 18), (-37, 24), (-34, 26),
(-20, 10), (-25, 14), (-28, 16),
(-9, 2), (-11, 4), (-14, 6),
(-29, 17), (-37, 24), (-36, 27),
(-20, 10), (-23, 13), (-29, 17),
(-9, 3), (-12, 6), (-16, 8),
(-27, 15), (-34, 21), (-38, 26),
(-15, 6), (-19, 9), (-25, 14),
(-6, 1), (-12, 5), (-16, 7),
(-20, 12), (-32, 19), (-39, 26),
(-11, 5), (-17, 9), (-22, 13),
(-5, 2), (-12, 6), (-16, 8),
(-10, 4), (-29, 17), (-38, 24),
(-6, 2), (-16, 8), (-21, 12),
(-2, 0), (-9, 3), (-12, 4),
(-4, 0), (-25, 13), (-36, 22),
(-3, 1), (-13, 6), (-17, 9),
(-2, 0), (-7, 2), (-11, 3),
(-2, 0), (-22, 13), (-31, 19),
(-2, 0), (-10, 3), (-14, 6),
(-2, 0), (-6, 1), (-10, 4),
(-4, 0), (-22, 11), (-32, 19),
(-3, 0), (-11, 5), (-14, 7),
(-2, 0), (-7, 2), (-11, 5),
(-10, 4), (-22, 12), (-33, 20),
(-5, 2), (-11, 6), (-13, 7),
(-2, 0), (-7, 2), (-11, 4),
(-9, 4), (-22, 13), (-33, 20),
(-4, 1), (-11, 5), (-14, 7),
(-2, 0), (-8, 3), (-12, 5),
